comparison,group_id,group_title,factor,left,right,left_value,right_value,left_ok,right_ok,common_ok,left_only,right_only,result_agreements,result_mismatches,left_reference_checked,left_reference_mismatches,right_reference_checked,right_reference_mismatches,metric,paired_values,left_total,right_total,aggregate_relative_change,decreased,tied,increased
5,focused-p32,一、P32 与 P33/gap 区间配置对比,hk update gap ratio、hk update min gap ratio,P32,gap0.005-0.015,hk update gap ratio=0.02；hk update min gap ratio=0.0,hk update gap ratio=0.015；hk update min gap ratio=0.005,40,35,35,ch130.tsp;ch150.tsp;kroA150.tsp;pr144.tsp;rat195.tsp,,35,,40,,35,,wall_seconds,35,1506.4443889707327,2025.0231149569154,0.34424020546851897,14,0,21
5,focused-p32,一、P32 与 P33/gap 区间配置对比,hk update gap ratio、hk update min gap ratio,P32,gap0.005-0.015,hk update gap ratio=0.02；hk update min gap ratio=0.0,hk update gap ratio=0.015；hk update min gap ratio=0.005,40,35,35,ch130.tsp;ch150.tsp;kroA150.tsp;pr144.tsp;rat195.tsp,,35,,40,,35,,branches,35,4056126.0,230209297.0,55.7559530941593,0,10,25
5,focused-p32,一、P32 与 P33/gap 区间配置对比,hk update gap ratio、hk update min gap ratio,P32,gap0.005-0.015,hk update gap ratio=0.02；hk update min gap ratio=0.0,hk update gap ratio=0.015；hk update min gap ratio=0.005,40,35,35,ch130.tsp;ch150.tsp;kroA150.tsp;pr144.tsp;rat195.tsp,,35,,40,,35,,search_node_potential_updates_skipped_total,35,385350.0,161763582.0,418.78352666407164,0,9,26
6,focused-p32,一、P32 与 P33/gap 区间配置对比,hk update min gap ratio,P32,gap0.005-0.02,hk update min gap ratio=0.0,hk update min gap ratio=0.005,40,37,37,ch130.tsp;ch150.tsp;kroA150.tsp,,37,,40,,37,,wall_seconds,37,3064.490701733157,2712.5035179983824,-0.11485992877567042,19,0,18
6,focused-p32,一、P32 与 P33/gap 区间配置对比,hk update min gap ratio,P32,gap0.005-0.02,hk update min gap ratio=0.0,hk update min gap ratio=0.005,40,37,37,ch130.tsp;ch150.tsp;kroA150.tsp,,37,,40,,37,,branches,37,4547281.0,246607395.0,53.23183546387391,0,10,27
6,focused-p32,一、P32 与 P33/gap 区间配置对比,hk update min gap ratio,P32,gap0.005-0.02,hk update min gap ratio=0.0,hk update min gap ratio=0.005,40,37,37,ch130.tsp;ch150.tsp;kroA150.tsp,,37,,40,,37,,search_node_potential_updates_skipped_total,37,385380.0,180126852.0,466.40062276194925,0,9,28
7,focused-p32,一、P32 与 P33/gap 区间配置对比,hk update gap ratio、hk update min gap ratio,P32,gap0.005-0.03,hk update gap ratio=0.02；hk update min gap ratio=0.0,hk update gap ratio=0.03；hk update min gap ratio=0.005,40,37,37,ch130.tsp;ch150.tsp;kroA150.tsp,,37,,40,,37,,wall_seconds,37,3064.490701733157,2412.0370560009032,-0.21290769306731827,16,0,21
7,focused-p32,一、P32 与 P33/gap 区间配置对比,hk update gap ratio、hk update min gap ratio,P32,gap0.005-0.03,hk update gap ratio=0.02；hk update min gap ratio=0.0,hk update gap ratio=0.03；hk update min gap ratio=0.005,40,37,37,ch130.tsp;ch150.tsp;kroA150.tsp,,37,,40,,37,,branches,37,4547281.0,188741825.0,40.50652334878799,0,10,27
7,focused-p32,一、P32 与 P33/gap 区间配置对比,hk update gap ratio、hk update min gap ratio,P32,gap0.005-0.03,hk update gap ratio=0.02；hk update min gap ratio=0.0,hk update gap ratio=0.03；hk update min gap ratio=0.005,40,37,37,ch130.tsp;ch150.tsp;kroA150.tsp,,37,,40,,37,,search_node_potential_updates_skipped_total,37,385380.0,137598294.0,356.0457574342208,0,9,28
8,focused-p32,一、P32 与 P33/gap 区间配置对比,hk update gap ratio、hk update min gap ratio,P32,gap0.005-0.04,hk update gap ratio=0.02；hk update min gap ratio=0.0,hk update gap ratio=0.04；hk update min gap ratio=0.005,40,37,37,ch130.tsp;ch150.tsp;kroA150.tsp,,37,,40,,37,,wall_seconds,37,3064.490701733157,2421.636931207031,-0.20977507621822866,16,0,21
8,focused-p32,一、P32 与 P33/gap 区间配置对比,hk update gap ratio、hk update min gap ratio,P32,gap0.005-0.04,hk update gap ratio=0.02；hk update min gap ratio=0.0,hk update gap ratio=0.04；hk update min gap ratio=0.005,40,37,37,ch130.tsp;ch150.tsp;kroA150.tsp,,37,,40,,37,,branches,37,4547281.0,189220679.0,40.61182891490541,0,10,27
8,focused-p32,一、P32 与 P33/gap 区间配置对比,hk update gap ratio、hk update min gap ratio,P32,gap0.005-0.04,hk update gap ratio=0.02；hk update min gap ratio=0.0,hk update gap ratio=0.04；hk update min gap ratio=0.005,40,37,37,ch130.tsp;ch150.tsp;kroA150.tsp,,37,,40,,37,,search_node_potential_updates_skipped_total,37,385380.0,137923940.0,356.8907571747366,0,9,28
9,focused-p32-no-node-update,二、P32-no-node-update 与 P33/gap 区间配置对比,hk potential update、hk update gap ratio、hk update min gap ratio,P32-no-node-update,P33>1%,hk potential update=none；hk update gap ratio=0.02；hk update min gap ratio=0.0,hk potential update=subtree-adaptive；hk update gap ratio=0.1；hk update min gap ratio=0.01,30,35,30,,gr120.tsp;kroB100.tsp;pr144.tsp;pr76.tsp;u159.tsp,30,,30,,35,,wall_seconds,30,1698.171714451164,504.60866998694837,-0.7028517989713226,15,0,15
9,focused-p32-no-node-update,二、P32-no-node-update 与 P33/gap 区间配置对比,hk potential update、hk update gap ratio、hk update min gap ratio,P32-no-node-update,P33>1%,hk potential update=none；hk update gap ratio=0.02；hk update min gap ratio=0.0,hk potential update=subtree-adaptive；hk update gap ratio=0.1；hk update min gap ratio=0.01,30,35,30,,gr120.tsp;kroB100.tsp;pr144.tsp;pr76.tsp;u159.tsp,30,,30,,35,,branches,30,374162867.0,102231838.0,-0.7267718231376499,10,16,4
9,focused-p32-no-node-update,二、P32-no-node-update 与 P33/gap 区间配置对比,hk potential update、hk update gap ratio、hk update min gap ratio,P32-no-node-update,P33>1%,hk potential update=none；hk update gap ratio=0.02；hk update min gap ratio=0.0,hk potential update=subtree-adaptive；hk update gap ratio=0.1；hk update min gap ratio=0.01,30,35,30,,gr120.tsp;kroB100.tsp;pr144.tsp;pr76.tsp;u159.tsp,30,,30,,35,,search_node_potential_updates_skipped_total,30,273277979.0,73512430.0,-0.7309976081168252,10,16,4
10,focused-p32-no-node-update,二、P32-no-node-update 与 P33/gap 区间配置对比,hk potential update、hk update gap ratio、hk update min gap ratio,P32-no-node-update,P33>2%,hk potential update=none；hk update gap ratio=0.02；hk update min gap ratio=0.0,hk potential update=subtree-adaptive；hk update gap ratio=0.1；hk update min gap ratio=0.02,30,30,29,kroA100.tsp,u159.tsp,29,,30,,30,,wall_seconds,29,861.5061409827322,471.1345898490399,-0.45312683515916663,15,0,14
10,focused-p32-no-node-update,二、P32-no-node-update 与 P33/gap 区间配置对比,hk potential update、hk update gap ratio、hk update min gap ratio,P32-no-node-update,P33>2%,hk potential update=none；hk update gap ratio=0.02；hk update min gap ratio=0.0,hk potential update=subtree-adaptive；hk update gap ratio=0.1；hk update min gap ratio=0.02,30,30,29,kroA100.tsp,u159.tsp,29,,30,,30,,branches,29,181548542.0,63960406.0,-0.6476952924248767,3,21,5
10,focused-p32-no-node-update,二、P32-no-node-update 与 P33/gap 区间配置对比,hk potential update、hk update gap ratio、hk update min gap ratio,P32-no-node-update,P33>2%,hk potential update=none；hk update gap ratio=0.02；hk update min gap ratio=0.0,hk potential update=subtree-adaptive；hk update gap ratio=0.1；hk update min gap ratio=0.02,30,30,29,kroA100.tsp,u159.tsp,29,,30,,30,,search_node_potential_updates_skipped_total,29,126603953.0,44158420.0,-0.6512082051656002,6,21,2
11,focused-p32-no-node-update,二、P32-no-node-update 与 P33/gap 区间配置对比,hk potential update、hk update gap ratio、hk update min gap ratio,P32-no-node-update,P33>5%,hk potential update=none；hk update gap ratio=0.02；hk update min gap ratio=0.0,hk potential update=subtree-adaptive；hk update gap ratio=0.1；hk update min gap ratio=0.05,30,30,30,,,30,,30,,30,,wall_seconds,30,1698.171714451164,1716.767187943682,0.010950290441345656,13,0,17
11,focused-p32-no-node-update,二、P32-no-node-update 与 P33/gap 区间配置对比,hk potential update、hk update gap ratio、hk update min gap ratio,P32-no-node-update,P33>5%,hk potential update=none；hk update gap ratio=0.02；hk update min gap ratio=0.0,hk potential update=subtree-adaptive；hk update gap ratio=0.1；hk update min gap ratio=0.05,30,30,30,,,30,,30,,30,,branches,30,374162867.0,374162867.0,0.0,0,30,0
11,focused-p32-no-node-update,二、P32-no-node-update 与 P33/gap 区间配置对比,hk potential update、hk update gap ratio、hk update min gap ratio,P32-no-node-update,P33>5%,hk potential update=none；hk update gap ratio=0.02；hk update min gap ratio=0.0,hk potential update=subtree-adaptive；hk update gap ratio=0.1；hk update min gap ratio=0.05,30,30,30,,,30,,30,,30,,search_node_potential_updates_skipped_total,30,273277979.0,273277979.0,0.0,0,30,0
12,focused-p32-no-node-update,二、P32-no-node-update 与 P33/gap 区间配置对比,hk potential update、hk update gap ratio、hk update min gap ratio,P32-no-node-update,gap0.005-0.01,hk potential update=none；hk update gap ratio=0.02；hk update min gap ratio=0.0,hk potential update=subtree-adaptive；hk update gap ratio=0.01；hk update min gap ratio=0.005,30,34,30,,gr120.tsp;kroB100.tsp;kroE100.tsp;u159.tsp,30,,30,,34,,wall_seconds,30,1698.171714451164,457.42465216107666,-0.7306369854894723,16,0,14
12,focused-p32-no-node-update,二、P32-no-node-update 与 P33/gap 区间配置对比,hk potential update、hk update gap ratio、hk update min gap ratio,P32-no-node-update,gap0.005-0.01,hk potential update=none；hk update gap ratio=0.02；hk update min gap ratio=0.0,hk potential update=subtree-adaptive；hk update gap ratio=0.01；hk update min gap ratio=0.005,30,34,30,,gr120.tsp;kroB100.tsp;kroE100.tsp;u159.tsp,30,,30,,34,,branches,30,374162867.0,23549882.0,-0.9370598098394408,14,14,2
12,focused-p32-no-node-update,二、P32-no-node-update 与 P33/gap 区间配置对比,hk potential update、hk update gap ratio、hk update min gap ratio,P32-no-node-update,gap0.005-0.01,hk potential update=none；hk update gap ratio=0.02；hk update min gap ratio=0.0,hk potential update=subtree-adaptive；hk update gap ratio=0.01；hk update min gap ratio=0.005,30,34,30,,gr120.tsp;kroB100.tsp;kroE100.tsp;u159.tsp,30,,30,,34,,search_node_potential_updates_skipped_total,30,273277979.0,16324781.0,-0.9402630937928592,14,14,2
13,focused-p32-no-node-update,二、P32-no-node-update 与 P33/gap 区间配置对比,hk potential update、hk update gap ratio、hk update min gap ratio,P32-no-node-update,gap0.005-0.015,hk potential update=none；hk update gap ratio=0.02；hk update min gap ratio=0.0,hk potential update=subtree-adaptive；hk update gap ratio=0.015；hk update min gap ratio=0.005,30,35,30,,gr120.tsp;kroB100.tsp;kroE100.tsp;pr76.tsp;u159.tsp,30,,30,,35,,wall_seconds,30,1698.171714451164,146.17431992664933,-0.913922532873013,22,0,8
13,focused-p32-no-node-update,二、P32-no-node-update 与 P33/gap 区间配置对比,hk potential update、hk update gap ratio、hk update min gap ratio,P32-no-node-update,gap0.005-0.015,hk potential update=none；hk update gap ratio=0.02；hk update min gap ratio=0.0,hk potential update=subtree-adaptive；hk update gap ratio=0.015；hk update min gap ratio=0.005,30,35,30,,gr120.tsp;kroB100.tsp;kroE100.tsp;pr76.tsp;u159.tsp,30,,30,,35,,branches,30,374162867.0,11230089.0,-0.969986094317585,16,14,0
13,focused-p32-no-node-update,二、P32-no-node-update 与 P33/gap 区间配置对比,hk potential update、hk update gap ratio、hk update min gap ratio,P32-no-node-update,gap0.005-0.015,hk potential update=none；hk update gap ratio=0.02；hk update min gap ratio=0.0,hk potential update=subtree-adaptive；hk update gap ratio=0.015；hk update min gap ratio=0.005,30,35,30,,gr120.tsp;kroB100.tsp;kroE100.tsp;pr76.tsp;u159.tsp,30,,30,,35,,search_node_potential_updates_skipped_total,30,273277979.0,8172533.0,-0.9700944326728939,16,14,0
14,focused-p32-no-node-update,二、P32-no-node-update 与 P33/gap 区间配置对比,hk potential update、hk update min gap ratio,P32-no-node-update,gap0.005-0.02,hk potential update=none；hk update min gap ratio=0.0,hk potential update=subtree-adaptive；hk update min gap ratio=0.005,30,37,30,,gr120.tsp;kroB100.tsp;kroE100.tsp;pr144.tsp;pr76.tsp;rat195.tsp;u159.tsp,30,,30,,37,,wall_seconds,30,1698.171714451164,84.14315631613135,-0.9504507373429396,19,0,11
14,focused-p32-no-node-update,二、P32-no-node-update 与 P33/gap 区间配置对比,hk potential update、hk update min gap ratio,P32-no-node-update,gap0.005-0.02,hk potential update=none；hk update min gap ratio=0.0,hk potential update=subtree-adaptive；hk update min gap ratio=0.005,30,37,30,,gr120.tsp;kroB100.tsp;kroE100.tsp;pr144.tsp;pr76.tsp;rat195.tsp;u159.tsp,30,,30,,37,,branches,30,374162867.0,9833511.0,-0.9737186346714625,16,14,0
14,focused-p32-no-node-update,二、P32-no-node-update 与 P33/gap 区间配置对比,hk potential update、hk update min gap ratio,P32-no-node-update,gap0.005-0.02,hk potential update=none；hk update min gap ratio=0.0,hk potential update=subtree-adaptive；hk update min gap ratio=0.005,30,37,30,,gr120.tsp;kroB100.tsp;kroE100.tsp;pr144.tsp;pr76.tsp;rat195.tsp;u159.tsp,30,,30,,37,,search_node_potential_updates_skipped_total,30,273277979.0,7107670.0,-0.9739910620460202,16,14,0
15,focused-p32-no-node-update,二、P32-no-node-update 与 P33/gap 区间配置对比,hk potential update、hk update gap ratio、hk update min gap ratio,P32-no-node-update,gap0.005-0.03,hk potential update=none；hk update gap ratio=0.02；hk update min gap ratio=0.0,hk potential update=subtree-adaptive；hk update gap ratio=0.03；hk update min gap ratio=0.005,30,37,30,,gr120.tsp;kroB100.tsp;kroE100.tsp;pr144.tsp;pr76.tsp;rat195.tsp;u159.tsp,30,,30,,37,,wall_seconds,30,1698.171714451164,87.06193337589502,-0.9487319611821277,23,0,7
15,focused-p32-no-node-update,二、P32-no-node-update 与 P33/gap 区间配置对比,hk potential update、hk update gap ratio、hk update min gap ratio,P32-no-node-update,gap0.005-0.03,hk potential update=none；hk update gap ratio=0.02；hk update min gap ratio=0.0,hk potential update=subtree-adaptive；hk update gap ratio=0.03；hk update min gap ratio=0.005,30,37,30,,gr120.tsp;kroB100.tsp;kroE100.tsp;pr144.tsp;pr76.tsp;rat195.tsp;u159.tsp,30,,30,,37,,branches,30,374162867.0,12294090.0,-0.9671424102060882,16,14,0
15,focused-p32-no-node-update,二、P32-no-node-update 与 P33/gap 区间配置对比,hk potential update、hk update gap ratio、hk update min gap ratio,P32-no-node-update,gap0.005-0.03,hk potential update=none；hk update gap ratio=0.02；hk update min gap ratio=0.0,hk potential update=subtree-adaptive；hk update gap ratio=0.03；hk update min gap ratio=0.005,30,37,30,,gr120.tsp;kroB100.tsp;kroE100.tsp;pr144.tsp;pr76.tsp;rat195.tsp;u159.tsp,30,,30,,37,,search_node_potential_updates_skipped_total,30,273277979.0,8927518.0,-0.9673317329384963,16,14,0
16,focused-p32-no-node-update,二、P32-no-node-update 与 P33/gap 区间配置对比,hk potential update、hk update gap ratio、hk update min gap ratio,P32-no-node-update,gap0.005-0.04,hk potential update=none；hk update gap ratio=0.02；hk update min gap ratio=0.0,hk potential update=subtree-adaptive；hk update gap ratio=0.04；hk update min gap ratio=0.005,30,37,30,,gr120.tsp;kroB100.tsp;kroE100.tsp;pr144.tsp;pr76.tsp;rat195.tsp;u159.tsp,30,,30,,37,,wall_seconds,30,1698.171714451164,84.00367990322411,-0.9505328706229373,20,0,10
16,focused-p32-no-node-update,二、P32-no-node-update 与 P33/gap 区间配置对比,hk potential update、hk update gap ratio、hk update min gap ratio,P32-no-node-update,gap0.005-0.04,hk potential update=none；hk update gap ratio=0.02；hk update min gap ratio=0.0,hk potential update=subtree-adaptive；hk update gap ratio=0.04；hk update min gap ratio=0.005,30,37,30,,gr120.tsp;kroB100.tsp;kroE100.tsp;pr144.tsp;pr76.tsp;rat195.tsp;u159.tsp,30,,30,,37,,branches,30,374162867.0,11663856.0,-0.9688267943488897,16,14,0
16,focused-p32-no-node-update,二、P32-no-node-update 与 P33/gap 区间配置对比,hk potential update、hk update gap ratio、hk update min gap ratio,P32-no-node-update,gap0.005-0.04,hk potential update=none；hk update gap ratio=0.02；hk update min gap ratio=0.0,hk potential update=subtree-adaptive；hk update gap ratio=0.04；hk update min gap ratio=0.005,30,37,30,,gr120.tsp;kroB100.tsp;kroE100.tsp;pr144.tsp;pr76.tsp;rat195.tsp;u159.tsp,30,,30,,37,,search_node_potential_updates_skipped_total,30,273277979.0,8495627.0,-0.968912142020781,16,14,0
17,focused-p33-iterations,三、P33 各触发下限的 32/64/128 迭代上限对比,hk update iterations,P33>1%,P33>1%64,hk update iterations=32,hk update iterations=64,35,35,35,,,35,,35,,35,,wall_seconds,35,3601.3601791206747,2595.0409421510994,-0.2794275459599498,20,0,15
17,focused-p33-iterations,三、P33 各触发下限的 32/64/128 迭代上限对比,hk update iterations,P33>1%,P33>1%64,hk update iterations=32,hk update iterations=64,35,35,35,,,35,,35,,35,,branches,35,626898690.0,505053099.0,-0.19436249101110736,15,16,4
17,focused-p33-iterations,三、P33 各触发下限的 32/64/128 迭代上限对比,hk update iterations,P33>1%,P33>1%64,hk update iterations=32,hk update iterations=64,35,35,35,,,35,,35,,35,,search_node_potential_updates_skipped_total,35,449514786.0,360255892.0,-0.1985672035268713,14,16,5
18,focused-p33-iterations,三、P33 各触发下限的 32/64/128 迭代上限对比,hk update iterations,P33>1%,P33>1%128,hk update iterations=32,hk update iterations=128,35,34,34,u159.tsp,,34,,35,,34,,wall_seconds,34,2761.2082103416324,2192.6966452486813,-0.2058923202399907,17,0,17
18,focused-p33-iterations,三、P33 各触发下限的 32/64/128 迭代上限对比,hk update iterations,P33>1%,P33>1%128,hk update iterations=32,hk update iterations=128,35,34,34,u159.tsp,,34,,35,,34,,branches,34,589376893.0,451200973.0,-0.23444407414187507,15,16,3
18,focused-p33-iterations,三、P33 各触发下限的 32/64/128 迭代上限对比,hk update iterations,P33>1%,P33>1%128,hk update iterations=32,hk update iterations=128,35,34,34,u159.tsp,,34,,35,,34,,search_node_potential_updates_skipped_total,34,420817176.0,322561273.0,-0.23348833793799328,14,16,4
19,focused-p33-iterations,三、P33 各触发下限的 32/64/128 迭代上限对比,hk update iterations,P33>2%,P33>2%64,hk update iterations=32,hk update iterations=64,30,30,29,kroD100.tsp,gr120.tsp,29,,30,,30,,wall_seconds,29,1322.2701380588114,1851.1545192878693,0.3999820959471252,11,0,18
19,focused-p33-iterations,三、P33 各触发下限的 32/64/128 迭代上限对比,hk update iterations,P33>2%,P33>2%64,hk update iterations=32,hk update iterations=64,30,30,29,kroD100.tsp,gr120.tsp,29,,30,,30,,branches,29,100056942.0,147186749.0,0.4710298561792945,3,21,5
19,focused-p33-iterations,三、P33 各触发下限的 32/64/128 迭代上限对比,hk update iterations,P33>2%,P33>2%64,hk update iterations=32,hk update iterations=64,30,30,29,kroD100.tsp,gr120.tsp,29,,30,,30,,search_node_potential_updates_skipped_total,29,71115574.0,104549652.0,0.4701372163571371,2,23,4
20,focused-p33-iterations,三、P33 各触发下限的 32/64/128 迭代上限对比,hk update iterations,P33>2%,P33>2%128,hk update iterations=32,hk update iterations=128,30,32,30,,gr120.tsp;pr76.tsp,30,,30,,32,,wall_seconds,30,1332.9140207208693,1802.5635515414178,0.35234795607187896,11,0,19
20,focused-p33-iterations,三、P33 各触发下限的 32/64/128 迭代上限对比,hk update iterations,P33>2%,P33>2%128,hk update iterations=32,hk update iterations=128,30,32,30,,gr120.tsp;pr76.tsp,30,,30,,32,,branches,30,102701522.0,269776333.0,1.6267997566774133,4,21,5
20,focused-p33-iterations,三、P33 各触发下限的 32/64/128 迭代上限对比,hk update iterations,P33>2%,P33>2%128,hk update iterations=32,hk update iterations=128,30,32,30,,gr120.tsp;pr76.tsp,30,,30,,32,,search_node_potential_updates_skipped_total,30,72863093.0,186769994.0,1.56330038034482,2,22,6
21,focused-p33-iterations,三、P33 各触发下限的 32/64/128 迭代上限对比,hk update iterations,P33>5%,P33>5%64,hk update iterations=32,hk update iterations=64,30,30,30,,,30,,30,,30,,wall_seconds,30,1716.767187943682,1730.3998101260513,0.007940868323967676,18,0,12
21,focused-p33-iterations,三、P33 各触发下限的 32/64/128 迭代上限对比,hk update iterations,P33>5%,P33>5%64,hk update iterations=32,hk update iterations=64,30,30,30,,,30,,30,,30,,branches,30,374162867.0,374162867.0,0.0,0,30,0
21,focused-p33-iterations,三、P33 各触发下限的 32/64/128 迭代上限对比,hk update iterations,P33>5%,P33>5%64,hk update iterations=32,hk update iterations=64,30,30,30,,,30,,30,,30,,search_node_potential_updates_skipped_total,30,273277979.0,273277979.0,0.0,0,30,0
22,focused-p33-iterations,三、P33 各触发下限的 32/64/128 迭代上限对比,hk update iterations,P33>5%,P33>5%128,hk update iterations=32,hk update iterations=128,30,30,30,,,30,,30,,30,,wall_seconds,30,1716.767187943682,1750.420538323,0.019602745564835322,15,0,15
22,focused-p33-iterations,三、P33 各触发下限的 32/64/128 迭代上限对比,hk update iterations,P33>5%,P33>5%128,hk update iterations=32,hk update iterations=128,30,30,30,,,30,,30,,30,,branches,30,374162867.0,374162867.0,0.0,0,30,0
22,focused-p33-iterations,三、P33 各触发下限的 32/64/128 迭代上限对比,hk update iterations,P33>5%,P33>5%128,hk update iterations=32,hk update iterations=128,30,30,30,,,30,,30,,30,,search_node_potential_updates_skipped_total,30,273277979.0,273277979.0,0.0,0,30,0
